id,focus,signal,slack,drag,confidence,score,lane
l001,sync drift,35,33,6,25,186,watch
l002,local state,35,34,6,55,217,ship
l003,conflict cost,35,35,6,85,248,ship
l004,form pressure,35,36,18,25,165,watch
l005,sync drift,35,37,18,55,196,ship
l006,local state,35,38,18,85,227,ship
l007,conflict cost,35,39,34,25,136,watch
l008,form pressure,35,40,34,55,167,watch
l009,sync drift,35,41,34,85,198,ship
l010,local state,60,42,6,25,295,ship
l011,conflict cost,60,43,6,55,326,ship
l012,form pressure,60,44,6,85,357,ship
l013,sync drift,60,45,18,25,274,ship
l014,local state,60,46,18,55,305,ship
l015,conflict cost,60,47,18,85,336,ship
l016,form pressure,60,48,34,25,245,ship
l017,sync drift,60,32,34,55,259,ship
l018,local state,60,33,34,85,290,ship
l019,conflict cost,85,34,6,25,387,ship
l020,form pressure,85,35,6,55,418,ship
l021,sync drift,85,36,6,85,449,ship
l022,local state,85,37,18,25,366,ship
l023,conflict cost,85,38,18,55,397,ship
l024,form pressure,85,39,18,85,428,ship
l025,sync drift,85,40,34,25,337,ship
l026,local state,85,41,34,55,368,ship
l027,conflict cost,85,42,34,85,399,ship
